generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
1234,0.3898999999999999,False,1,0.0,0.20729999999999998,0.8700999999999999,74.4,0.0,0.0,0.0,1.8832846837956183,0.4205165634974606,2.0239560092081157,0.9658652785457235,0.3670757963898542,0.3755517016489964,0.38480799108061026,0.7582786262451767,0.05
1235,0.38999999999999996,False,1,0.0,0.1679,0.9417,82.4,0.0,0.0,0.0,1.74936507827133,0.2984301313366718,1.7707612378126723,0.7203881593084789,0.23104198018322034,0.2714692162013864,0.16485855076062533,0.4945756522818761,0.05
1236,0.35655,False,1,0.0,0.1131,1.0,100.0,0.0,0.0,0.0,1.6631040949960958,0.10562543019640704,1.5569777777819724,0.05629568761809816,0.1339851813065021,0.08459329590045567,0.01290000000000056,0.03870000000000168,0.05
1237,0.5157499999999999,False,1,0.0,0.29860000000000003,0.8871,38.55,0.0,0.0,0.0,1.9352662209338998,0.32249480520154433,2.110951985913446,1.2291596369360016,0.42691469911363206,0.3094090444845131,0.3618313027370449,0.723663364362444,0.05
1238,0.38585,False,1,0.0,0.24159999999999998,0.8085000000000001,69.6,0.0,0.0,0.0,1.9419451723376824,0.3119181304480651,1.945810808835316,0.6978437324083544,0.43726013672842257,0.33839313983720054,0.3190725591910867,0.5287236989671327,0.05
1239,0.49949999999999994,False,1,0.0,0.23899999999999996,1.0,60.0,0.0,0.0,0.0,1.8335391349274157,0.23120001198590043,1.5148,0.030886242892265173,0.27736026604431013,0.1698136523342344,5.959269543739786e-170,0.0,0.05
1240,0.38215,False,1,0.0,0.2687,0.7612,66.4,0.0,0.0,0.0,2.0101393963156724,0.39844416993895815,2.25836161746997,0.9435880304122918,0.5206459155581138,0.40474628012259173,0.5256766497647956,0.7283533551625008,0.05
1241,0.38849999999999996,False,1,0.0,0.20140000000000002,0.8672000000000001,72.9,0.0,0.0,0.0,1.8367777671679062,0.29903653785003026,2.1611908569222953,1.230758813137789,0.34056970740437276,0.3265562150974831,0.3561210073977811,0.7152843133735549,0.05
1242,0.42794999999999994,False,1,0.0,0.1359,1.0,70.0,0.0,0.0,0.0,1.654453296429002,0.07229033788153207,1.5270000000020558,0.03690528417833565,0.1426879257165084,0.0972064440088733,7.035841425973199e-217,0.0,0.05
1243,0.46085,False,1,0.0,0.29450000000000004,0.8808,63.4,0.0,0.0,0.0,1.9651534648093718,0.30175371617996843,1.9943497836781474,0.9546595773173767,0.43760298820403926,0.2979122108929697,0.32946815908444577,0.6443352196736684,0.05
1244,0.3565,False,1,0.0,0.17970000000000003,0.9333,100.0,0.0,0.0,0.0,1.7682639579657848,0.2521966236136447,1.7493346417473141,0.7007168439206568,0.2623555384921064,0.26849778745230046,0.18347012902796617,0.5504103870838984,0.05
1245,0.4193,False,1,0.0,0.19490000000000002,0.9239,70.05,0.0,0.0,0.0,1.810287674052298,0.20963774620191106,1.917386277316761,0.8460654262846938,0.2983100958023888,0.22916119579621336,0.2354311422387571,0.500311542266494,0.05
1246,0.36765000000000003,False,1,0.0,0.17200000000000001,0.9425000000000001,94.8,0.0,0.0,0.0,1.7560109852635484,0.3501783333541524,1.7309069848175742,0.6494450421524643,0.22307911958536053,0.2842568091383711,0.16522934190971245,0.49568802572913734,0.05
1247,0.41174999999999995,False,1,0.0,0.1999,0.9339999999999999,77.6,0.0,0.0,0.0,1.7735006861641458,0.22623491585278196,1.5924540968928378,0.25967941355834434,0.2768858194516665,0.25872662309469824,0.08015195108613993,0.2404558532584198,0.05
1248,0.4032,False,1,0.0,0.21350000000000002,0.8731,70.05,0.0,0.0,0.0,1.9111914721432164,0.30401982725413157,1.743825718978843,0.40268784535460367,0.38660972338429567,0.33432410487329295,0.1597212706604958,0.31944263422588387,0.05
1249,0.46075,False,1,0.0,0.21349999999999997,0.9496,60.4,0.0,0.0,0.0,1.770184685139165,0.24071626919446287,1.6463222222222225,0.33811129167118337,0.26547344864516564,0.2385028493946221,0.07960000000000016,0.2388000000000005,0.05
1250,0.42210000000000003,False,1,0.0,0.1852,0.9390000000000001,70.0,0.0,0.0,0.0,1.7713346572918667,0.27874237171988664,1.6407111111111115,0.3392385853315903,0.26437733916109174,0.2758063969815328,0.07980000000000029,0.23940000000000086,0.05
