generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,mutation_sigma
293,0.6091599999999999,False,0,0.0,0.3216,0.7323999999999999,0.0,0.0,0.38794893128579744,0.004044887033170534,1.9460074087564856,0.2164069555442045,2.1293622835863766,0.8358800298818732,0.5082076397775575,0.2720286612480971,0.39419999999999983,0.5239574028487428,0.0106097096948617,0.005086364256109003,0.06000000000000005,0.0,0.24523982211593204,0.11568740359122175,0.019999999999999997,2.9027475788800784e-18,0.3901155979524641,0.0037859388972001783,0.05
294,0.7252099999999999,False,0,0.0,0.37710000000000005,0.8744,0.0,0.0,0.3894520247771172,0.008373237791386991,1.9282593491325677,0.20569384057781054,1.753099465603355,0.452020664952536,0.440483675679736,0.1963177433677103,0.15980000000000008,0.31960000000000016,0.00886912876794197,0.0031562340702078577,0.06000000000000005,0.0,0.19937829105319485,0.06902746638877436,0.019999999999999997,3.103167691559091e-18,0.3922853581104505,0.008706638591072662,0.05
295,0.6702899999999999,False,0,0.0,0.34429999999999994,0.8099999999999999,0.0,0.0,0.38491931767558396,0.009030811456096044,1.9767306914516176,0.22486608819275827,1.8674888884468466,0.5163878409389886,0.4794250674148949,0.24341803810227317,0.23989999999999972,0.3664533940353121,0.009544052583171396,0.004266584621196698,0.06000000000000005,0.0,0.22140208170025194,0.0950903049203731,0.019999999999999997,3.103167691559091e-18,0.3874193176755839,0.009130230616534892,0.05
296,0.71527,False,0,0.0,0.36729999999999996,0.8644000000000001,0.0,0.0,0.39303760366746665,0.004153311931459044,1.959594831647422,0.11309222311787236,1.752699962626758,0.45068630196678927,0.45102489306178006,0.19427987031107644,0.15999999999999984,0.3199999999999997,0.00926874461188369,0.0038779228215831646,0.06000000000000005,0.0,0.21191303613644039,0.08817613432176519,0.019999999999999997,3.469446951953614e-18,0.39587093700079995,0.0049553562491061786,0.05
297,0.70985,False,0,0.0,0.34199999999999997,0.8675,0.0,0.0,0.3708661217375002,0.003961621441334918,1.880855586482739,0.1815164482700428,1.7566249999990866,0.4546000611783546,0.40172711693673574,0.20258788017170185,0.15999999999999995,0.3199999999999999,0.008507646544626195,0.003744913709106013,0.06000000000000005,0.0,0.1977125158027813,0.0828384576735469,0.019999999999999997,3.103167691559091e-18,0.3740327884041669,0.0045460605656619645,0.05
298,0.7962699999999999,False,0,0.0,0.3209,1.0,0.0,0.0,0.3784228095157449,0.004268749491621908,1.836693941153025,0.09426694959843511,1.5400000174792388,0.04879754241365995,0.2995313580338735,0.04219144339948743,0.0,0.0,0.006581073714188939,0.0006598666531959318,0.06000000000000005,0.0,0.1555,0.014179210133149166,0.019999999999999997,3.469446951953614e-18,0.3817561428490783,0.004268749491621908,0.05
299,0.71604,False,0,0.0,0.35750000000000004,0.8696999999999999,0.0,0.0,0.3979835640397987,0.009243616415908037,1.950602501907437,0.19487014904227073,1.7411444443668553,0.45699959746173474,0.426500752897326,0.19380872551463718,0.15979999999999994,0.3196003128909606,0.009004100559008747,0.0033322067628444724,0.06000000000000005,0.0,0.20917888850168437,0.0763421805443572,0.019999999999999997,3.103167691559091e-18,0.4009835640397987,0.009486832980505148,0.05
300,0.6635899999999999,False,0,0.0,0.3327,0.8054,0.0,0.0,0.389801818222742,0.003184162195757133,1.90897286673767,0.17842040406972254,1.8506999973338272,0.5268952511555545,0.4364991121662487,0.23208973119315243,0.2394,0.36569036082456424,0.009701128147286138,0.004563818401429873,0.06000000000000005,0.0,0.22293211233211233,0.10041097355838849,0.019999999999999997,3.103167691559091e-18,0.39280181822274196,0.003578485092263987,0.05
301,0.8146899999999999,False,0,0.0,0.3823,1.0,0.0,0.0,0.39014445938309905,0.011363929289153857,1.938237778863519,0.20274382640948252,1.5089000000000001,0.017868687696638495,0.33946506687172573,0.10072450553784822,0.0,0.0,0.0073697335125971885,0.0012641281580599332,0.06000000000000005,0.0,0.17,0.025976912826585076,0.019999999999999997,3.469446951953614e-18,0.3936444593830991,0.011125546178852426,0.05
302,0.75251,False,0,0.0,0.32039999999999996,0.9377000000000001,0.0,0.0,0.36604505850143254,0.007602996485304705,1.856224480920492,0.15498274632233078,1.6606335069444456,0.338087900026844,0.35140562083636356,0.1574324898609086,0.08690000000000064,0.23828237450554315,0.007104119178769633,0.0021048827925881403,0.06000000000000005,0.0,0.16367771883289123,0.04608358840816938,0.019999999999999997,3.291406376790657e-18,0.3692117251680992,0.00731057073315378,0.05
303,0.7272799999999999,False,0,0.0,0.3413,0.8926999999999999,0.0,0.0,0.37461827987603524,0.007544313531837526,1.9748496004803808,0.31506411703428144,1.8183087857851,0.5444175158391747,0.41498191326196554,0.25042371547906705,0.15970000000000015,0.318402277001908,0.00825142389212189,0.0037510738225485893,0.06000000000000005,0.0,0.18759718969555036,0.07823102684064462,0.019999999999999997,3.291406376790657e-18,0.37711827987603525,0.006506407098647711,0.05
304,0.6556599999999999,False,0,0.0,0.317,0.8008,0.0,0.0,0.3967660919198509,0.00759385716659636,1.9152736959667642,0.19679814858226796,1.87265552573087,0.5109279783571791,0.45098591127224097,0.24180846635391462,0.23989999999999972,0.3664533940353121,0.009847049036848408,0.0047953864524797095,0.06000000000000005,0.0,0.2276703093306288,0.10564701391634924,0.019999999999999997,2.9027475788800784e-18,0.39909942525318426,0.007859884081701081,0.05
305,0.7070799999999999,False,0,0.0,0.33580000000000004,0.8661999999999999,0.0,0.0,0.39354555071027497,0.0072820174249845155,1.9592626528403403,0.17598423096634697,1.7325881693513572,0.45972240217652416,0.4329903109960921,0.2159790836326568,0.15999999999999978,0.3199999999999996,0.009033374383228068,0.004031312016235381,0.06000000000000005,0.0,0.20530970098151108,0.08786691423857992,0.019999999999999997,3.291406376790657e-18,0.3963788840436083,0.007408703590297639,0.05
