generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,mutation_sigma
13,0.7978599999999999,False,0,0.0,0.3262,1.0,0.0,0.0,0.38667046258537574,0.041280314750991316,1.8090616174826213,0.10260322932190429,1.5123000000000002,0.01878856034931891,0.29276381347656755,0.049774504185370744,0.0,0.0,0.031121805737001084,0.0038805590159791963,0.15000000000000013,0.0,0.46679999999999994,0.039726061974477166,0.0404078387798924,0.0008549324119025839,0.5995991355949093,0.06503924963155842,0.05
14,0.77166,False,0,0.0,0.3532,0.951,0.0,0.0,0.42430788041050105,0.06035880363286677,1.926208143856544,0.21041172865843305,1.6232555555555557,0.34281493063556406,0.34505531654993693,0.1506575443145761,0.07989999999999994,0.23969999999999983,0.03274072613467484,0.005447026198974242,0.15000000000000013,0.0,0.44897647058823525,0.03550980370502702,0.041522026513199764,0.0013789589698147708,0.6028558283193476,0.09621484033863734,0.05
15,0.8008,True,0,0.0,0.33599999999999997,1.0,0.0,0.0,0.4286438119565438,0.07197640884765417,1.854739463985716,0.21131707704240793,1.5330001806492288,0.03951946570391379,0.29631961574833643,0.09309203249565721,0.0,0.0,0.031336830652058986,0.006629277171858739,0.15000000000000013,0.0,0.45199999999999996,0.047127486671792736,0.04094181773682099,0.0013820322699085782,0.5756089481760366,0.1055919273231721,0.05
16,0.7933,False,0,0.0,0.31100000000000005,1.0,0.0,0.0,0.37866633876353173,0.022134109535986657,1.7708269533262417,0.13195107794388228,1.5229,0.046422946912060635,0.2607875301594445,0.056301714312832006,0.0,0.0,0.030592678483407187,0.004599699605267329,0.15000000000000013,0.0,0.44489999999999996,0.037017428327748535,0.04035566014770984,0.000895166868299842,0.5362255989550706,0.07672251157437189,0.05
17,0.7113,False,0,0.0,0.34800000000000003,0.867,0.0,0.0,0.3932177756056843,0.035071700225845284,1.9721479839816147,0.2063773736834254,1.7400111110852463,0.45588048691277283,0.4174346251649915,0.1860711974609678,0.1669000000000004,0.31651744027778306,0.03852297358155584,0.01199540757865702,0.15000000000000013,3.510833468576701e-17,0.49108260869565223,0.05759091587813497,0.04153434129957093,0.0012401258798725799,0.5260184826995636,0.05265252202002966,0.05
18,0.74594,False,0,0.0,0.3132,0.9314,0.0,0.0,0.3795516461753146,0.050658122864278295,1.8750064862346043,0.1505168601609302,1.6513515623093333,0.33679754879821927,0.32578345049854174,0.1474135877602671,0.0848000000000009,0.2379717630308269,0.030393075126456576,0.008392943855517906,0.15000000000000013,2.6331251014325257e-17,0.4415987261146497,0.055861186135955636,0.041100180423881874,0.0011318141863630256,0.5561796290056178,0.07280778363697266,0.05
19,0.7221500000000001,False,0,0.0,0.36060000000000003,0.8771000000000001,0.0,0.0,0.4194267626663482,0.06718210383400022,2.003311655663546,0.2929584232247497,1.7939707714711357,0.5112062512636709,0.4405109564004319,0.22839813065755177,0.15999999999999984,0.3199999999999997,0.03839096289082833,0.01222259609725621,0.15000000000000013,0.0,0.4919856188355075,0.059646124880449077,0.04123928521687033,0.0015217947519806144,0.5865650929697026,0.07782812730924278,0.05
20,0.80116,True,0,0.0,0.3372,1.0,0.0,0.0,0.39460301408290405,0.0825455212604562,1.8780082263496218,0.2168803848611487,1.5193003255208342,0.02653713570199687,0.3088096037671925,0.10858428635820266,0.00260000000000052,0.007800000000001561,0.03080521312669219,0.005882745753238266,0.15000000000000013,0.0,0.44869999999999993,0.02923713392246238,0.04086522157769251,0.001571367912832398,0.5531964590589993,0.08909179269797922,0.05
21,0.7539699999999999,False,0,0.0,0.3318,0.9349000000000001,0.0,0.0,0.42257886335239947,0.04929571932726481,1.8924952521605332,0.1707493480108453,1.6406555560006038,0.33897790975328534,0.35522625529501206,0.16514637510093982,0.07990000000000001,0.23970000000000005,0.031180939363437,0.008400757433549367,0.15000000000000013,3.510833468576701e-17,0.4505624641833811,0.029814724226869784,0.04086867308615881,0.001077015558662078,0.5649928730270002,0.07144647069897386,0.05
22,0.79645,False,0,0.0,0.32150000000000006,1.0,0.0,0.0,0.40411145377909924,0.06921629830363989,1.7768676613261427,0.0835736470682604,1.5233,0.02556188568944,0.2599720367478938,0.045368086292683935,0.0,0.0,0.03020107266137852,0.0035548583437010417,0.15000000000000013,2.6331251014325257e-17,0.4614000000000001,0.024678735786097316,0.0405352278221465,0.0007560267082624303,0.5930236184073607,0.0647349427735101,0.05
