condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
fixed,0,600,1,0,42.70000000000122,100.0,28.0,2.6117826970827775,,Forage
fixed,0,610,1,0,43.10000000000121,100.0,28.0,2.6902336343005357,,Forage
fixed,0,620,1,0,42.100000000001195,100.0,28.0,2.688213508501781,,Forage
fixed,0,630,1,0,41.10000000000118,100.0,28.0,2.6938375433235957,,Forage
fixed,0,640,1,0,40.10000000000117,100.0,28.0,2.7000420747525427,,Forage
fixed,0,650,1,0,39.10000000000115,100.0,28.0,2.70629068736108,,Forage
fixed,0,660,1,0,37.70000000000115,100.0,28.0,2.859806796061067,,Forage
fixed,0,670,1,0,36.70000000000113,100.0,28.0,2.8542690361640615,,Forage
fixed,0,680,1,0,35.70000000000112,100.0,28.0,2.8596218971052343,,Forage
fixed,0,690,1,0,34.700000000001104,100.0,28.0,2.865805836399127,,Forage
fixed,0,700,1,0,33.70000000000109,100.0,28.0,2.8720528853023946,,Forage
fixed,0,710,1,0,27.300000000001084,100.0,28.0,3.0801523816235243,,Self
fixed,0,720,1,0,26.30000000000107,100.0,28.0,3.097414197283502,,Self
fixed,0,730,1,0,25.300000000001056,100.0,28.0,3.104502525880711,,Self
fixed,0,740,1,0,23.400000000001043,100.0,28.0,3.145218499446594,,Self
fixed,0,750,1,0,27.40000000000103,100.0,28.0,3.104609162575372,,Forage
fixed,0,760,1,0,25.500000000001016,100.0,28.0,3.112831698359435,,Forage
fixed,0,770,1,0,24.500000000001002,100.0,28.0,3.1212452014729575,,Self
fixed,0,780,1,0,22.60000000000099,100.0,28.0,3.1613730488926235,,Self
fixed,0,790,1,0,21.600000000000975,100.0,28.0,3.169546613577969,,Self
fixed,0,800,1,0,19.700000000000962,100.0,28.0,3.210623765188576,,Self
fixed,0,810,1,0,17.80000000000095,100.0,28.0,3.247763086938272,,Forage
fixed,0,820,1,0,16.800000000000935,100.0,28.0,3.259143591396398,,Self
fixed,0,830,1,0,14.900000000000928,100.0,28.0,3.2981116214922643,,Self
fixed,0,840,1,0,13.900000000000931,100.0,28.0,3.3075821814327484,,Self
fixed,0,850,1,0,17.900000000000922,100.0,28.0,3.243637164624623,,Self
fixed,0,860,1,0,16.00000000000091,100.0,28.0,3.275797713459175,,Self
fixed,0,870,1,0,14.100000000000913,100.0,28.0,3.312899445720112,,Self
fixed,0,880,1,0,13.100000000000916,100.0,28.0,3.3244057367222277,,Self
