condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
outcome_eta0.1,13,810,1,0,79.60000000000082,100.0,49.8,1.574585537213593,0.1,Forage
outcome_eta0.1,13,820,1,0,78.35000000000083,100.0,49.8,1.6371150966282668,0.1,Forage
outcome_eta0.1,13,830,1,0,79.00000000000085,100.0,49.8,1.591113120281145,0.1,Forage
outcome_eta0.1,13,840,1,0,78.70000000000087,100.0,49.8,1.5838594459138222,0.1,Forage
outcome_eta0.1,13,850,1,0,80.30000000000089,100.0,49.8,1.5401134720615102,0.1,Forage
outcome_eta0.1,13,860,1,0,81.90000000000092,100.0,49.8,1.518294896677881,0.1,Forage
outcome_eta0.1,13,870,1,0,84.45000000000094,100.0,49.8,1.5036304075969835,0.1,Forage
outcome_eta0.1,13,880,1,0,83.20000000000095,100.0,49.8,1.5175084438782909,0.1,Forage
outcome_eta0.1,13,890,1,0,82.90000000000097,100.0,49.8,1.5089401988066526,0.1,Forage
outcome_eta0.1,13,900,1,0,79.75000000000098,100.0,49.8,1.5710743675057839,0.1,Forage
outcome_eta0.1,13,910,1,0,80.400000000001,100.0,49.8,1.5526576906576488,0.1,Forage
outcome_eta0.1,13,920,1,0,82.95000000000103,100.0,49.8,1.5117299791217635,0.1,Forage
outcome_eta0.1,13,930,1,0,85.50000000000105,100.0,49.8,1.5020845223932375,0.1,Forage
outcome_eta0.1,13,940,1,0,85.20000000000107,100.0,49.8,1.500366829854544,0.1,Forage
outcome_eta0.1,13,950,1,0,83.00000000000108,100.0,49.8,1.5318752072975181,0.1,Forage
outcome_eta0.1,13,960,1,0,79.85000000000109,100.0,49.8,1.5852389332850831,0.1,Forage
outcome_eta0.1,13,970,1,0,82.40000000000111,100.0,49.8,1.5206527536116514,0.1,Forage
outcome_eta0.1,13,980,1,0,80.20000000000113,100.0,49.8,1.5615576407044864,0.1,Forage
outcome_eta0.1,13,990,1,0,82.75000000000115,100.0,49.8,1.5154682075478791,0.1,Forage
outcome_eta0.1,13,1000,1,0,86.25000000000118,100.0,49.8,1.5027590759401923,0.1,Forage
outcome_eta0.1,14,1,1,1,99.0,0.5,49.8,0.09844361735259166,0.1,Care
outcome_eta0.1,14,10,1,1,94.50000000000003,5.0,50.0,0.5935363127470508,0.1,Care
outcome_eta0.1,14,20,1,1,93.50000000000009,10.0,50.0,0.6598015858374722,0.1,Care
outcome_eta0.1,14,30,1,1,92.50000000000014,15.0,50.0,0.7291891095164202,0.1,Care
outcome_eta0.1,14,40,1,1,91.5000000000002,20.0,50.0,0.7995103167153617,0.1,Care
outcome_eta0.1,14,50,1,1,90.50000000000026,25.0,50.0,0.8700604722184875,0.1,Care
outcome_eta0.1,14,60,1,1,89.50000000000031,30.0,50.0,0.9406659367887031,0.1,Care
outcome_eta0.1,14,70,1,1,88.50000000000037,35.0,50.0,1.0112847460924015,0.1,Care
outcome_eta0.1,14,80,1,1,87.50000000000043,40.0,50.0,1.0819067748126416,0.1,Care
outcome_eta0.1,14,90,1,1,86.50000000000048,45.0,50.0,1.1525295802099862,0.1,Care
outcome_eta0.1,14,100,1,1,85.50000000000054,50.0,50.0,1.2231525729788166,0.1,Care
outcome_eta0.1,14,110,1,1,84.5000000000006,55.0,50.0,1.293775610950565,0.1,Care
outcome_eta0.1,14,120,1,1,83.50000000000065,60.0,50.0,1.3643986598274074,0.1,Care
outcome_eta0.1,14,130,1,1,82.50000000000071,65.0,50.0,1.4350217113350778,0.1,Care
outcome_eta0.1,14,140,1,1,81.50000000000077,70.0,50.0,1.505644763477429,0.1,Care
outcome_eta0.1,14,150,1,1,80.50000000000082,75.0,50.0,1.5762678157728958,0.1,Care
outcome_eta0.1,14,160,1,1,78.60000000000088,80.0,49.8,1.6698822049299684,0.1,Forage
outcome_eta0.1,14,170,1,1,76.70000000000093,65.0,50.0,1.575074992583711,0.1,Care
outcome_eta0.1,14,180,1,1,75.70000000000098,70.0,50.0,1.6851026807520069,0.1,Care
outcome_eta0.1,14,190,1,1,74.70000000000104,75.0,50.0,1.7970499576645829,0.1,Care
