condition,plasticity_rule,eta,run_id,seed,mother_survival_tick,child_survival_tick,mean_deficit,final_mother_energy,final_child_hunger,final_child_warmth,p_Forage,p_Care,p_Self,p_Protect
outcome_eta0.01,outcome,0.01,19,1019,1000,200,1.556850369832673,97.00000000000023,100.0,49.8,0.785,0.199,0.016,0.0
outcome_eta0.01,outcome,0.01,20,1020,1000,1000,2.543569202013964,23.500000000000426,60.0,48.59999999999998,0.204,0.796,0.0,0.0
outcome_eta0.01,outcome,0.01,21,1021,1000,1000,2.3512402621995014,34.70000000000068,40.0,50.0,0.251,0.749,0.0,0.0
outcome_eta0.01,outcome,0.01,22,1022,1000,1000,2.219106837001265,43.45000000000036,40.0,48.59999999999998,0.269,0.731,0.0,0.0
outcome_eta0.01,outcome,0.01,23,1023,991,200,2.555439326491403,34.20000000000334,100.0,49.8,0.0,0.199,0.801,0.0
outcome_eta0.01,outcome,0.01,24,1024,1000,200,1.5300951650527763,90.95000000000125,100.0,49.8,0.79,0.199,0.011,0.0
outcome_eta0.01,outcome,0.01,25,1025,850,903,2.6874110216535967,0.0,86.5,0.0,0.6400885935769657,0.3599114064230343,0.0,0.0
outcome_eta0.01,outcome,0.01,26,1026,1000,200,1.5170927533170067,85.95000000000046,100.0,49.8,0.785,0.199,0.016,0.0
outcome_eta0.01,outcome,0.01,27,1027,1000,200,1.661281697347317,82.00000000000023,100.0,49.8,0.801,0.199,0.0,0.0
outcome_eta0.01,outcome,0.01,28,1028,1000,1000,2.533651311396932,19.50000000000088,60.0,27.799999999999407,0.525,0.475,0.0,0.0
outcome_eta0.01,outcome,0.01,29,1029,1000,200,1.5098520001171696,93.70000000000036,100.0,49.8,0.784,0.199,0.017,0.0
outcome_eta0.1,outcome,0.1,0,1000,1000,1000,2.373789513767253,33.15000000000048,40.0,50.0,0.226,0.774,0.0,0.0
outcome_eta0.1,outcome,0.1,1,1001,1000,200,1.582996075916386,95.2500000000009,100.0,49.8,0.821,0.166,0.013,0.0
outcome_eta0.1,outcome,0.1,2,1002,991,200,2.4756854977259577,36.000000000003354,100.0,49.8,0.0,0.199,0.801,0.0
outcome_eta0.1,outcome,0.1,3,1003,965,1000,2.5608085527045406,0.0,80.0,4.999999999999304,0.587,0.413,0.0,0.0
outcome_eta0.1,outcome,0.1,4,1004,1000,221,1.5985273978153505,83.50000000000094,100.0,49.8,0.8,0.197,0.003,0.0
outcome_eta0.1,outcome,0.1,5,1005,1000,1000,2.1569695663199564,28.000000000000327,40.0,50.0,0.261,0.739,0.0,0.0
outcome_eta0.1,outcome,0.1,6,1006,1000,1000,2.2923246809833953,29.10000000000052,40.0,49.599999999999994,0.419,0.581,0.0,0.0
outcome_eta0.1,outcome,0.1,7,1007,677,330,2.503165658936994,0.0,66.0,0.0,0.9748892171344166,0.025110782865583457,0.0,0.0
outcome_eta0.1,outcome,0.1,8,1008,1000,1000,2.699506171141047,23.1000000000004,60.0,48.39999999999998,0.216,0.784,0.0,0.0
outcome_eta0.1,outcome,0.1,9,1009,1000,1000,2.107366140685971,41.100000000000485,40.0,24.399999999999277,0.543,0.408,0.049,0.0
outcome_eta0.1,outcome,0.1,10,1010,1000,200,1.628406027798173,85.25000000000124,100.0,49.8,0.798,0.199,0.003,0.0
outcome_eta0.1,outcome,0.1,11,1011,1000,270,1.8740432136518055,27.700000000000912,49.0,0.0,0.996,0.004,0.0,0.0
outcome_eta0.1,outcome,0.1,12,1012,1000,1000,2.3931634571577614,23.65000000000056,60.0,48.199999999999974,0.227,0.773,0.0,0.0
outcome_eta0.1,outcome,0.1,13,1013,1000,200,1.6499264880622613,86.25000000000118,100.0,49.8,0.796,0.199,0.005,0.0
outcome_eta0.1,outcome,0.1,14,1014,1000,1000,2.7540725583553294,15.150000000000926,60.0,48.999999999999986,0.264,0.703,0.033,0.0
outcome_eta0.1,outcome,0.1,15,1015,1000,1000,2.619756755890441,33.60000000000058,50.5,33.39999999999945,0.484,0.516,0.0,0.0
outcome_eta0.1,outcome,0.1,16,1016,1000,1000,3.254106193865241,4.600000000000968,60.0,50.0,0.23,0.77,0.0,0.0
outcome_eta0.1,outcome,0.1,17,1017,1000,250,2.773696821506545,61.00000000000112,24.0,0.0,1.0,0.0,0.0,0.0
outcome_eta0.1,outcome,0.1,18,1018,1000,200,1.5093547180596334,81.45000000000043,100.0,49.8,0.791,0.187,0.022,0.0
outcome_eta0.1,outcome,0.1,19,1019,1000,236,1.8569446088746695,95.70000000000019,100.0,49.8,0.826,0.172,0.002,0.0
outcome_eta0.1,outcome,0.1,20,1020,1000,1000,2.983341354648236,31.550000000000303,40.0,50.0,0.254,0.746,0.0,0.0
outcome_eta0.1,outcome,0.1,21,1021,1000,1000,2.3104581065300214,11.700000000001223,60.0,49.8,0.21,0.79,0.0,0.0
outcome_eta0.1,outcome,0.1,22,1022,1000,1000,2.3812548190601732,13.850000000000106,53.5,11.599999999999543,0.615,0.385,0.0,0.0
outcome_eta0.1,outcome,0.1,23,1023,1000,1000,2.4099858908795793,28.450000000000372,40.0,50.0,0.327,0.673,0.0,0.0
outcome_eta0.1,outcome,0.1,24,1024,1000,200,1.54361674273463,89.10000000000124,100.0,49.8,0.792,0.199,0.009,0.0
outcome_eta0.1,outcome,0.1,25,1025,1000,200,1.6025132372733202,67.45000000000094,100.0,49.8,0.801,0.199,0.0,0.0
outcome_eta0.1,outcome,0.1,26,1026,1000,200,1.5399588393374766,85.95000000000046,100.0,49.8,0.785,0.199,0.016,0.0
outcome_eta0.1,outcome,0.1,27,1027,1000,1000,2.521663586144313,23.400000000000702,60.0,45.99999999999994,0.257,0.743,0.0,0.0
outcome_eta0.1,outcome,0.1,28,1028,1000,200,1.6003657179256756,72.00000000000063,100.0,49.8,0.79,0.199,0.011,0.0
outcome_eta0.1,outcome,0.1,29,1029,1000,1000,2.648142298833456,44.30000000000046,20.0,46.59999999999992,0.343,0.633,0.024,0.0
