condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
fixed,2,660,1,0,62.79999999999944,100.0,22.0,2.6101021893442042,,Self
fixed,2,670,1,0,60.89999999999943,100.0,22.0,2.6351880558045404,,Forage
fixed,2,680,1,0,59.899999999999416,100.0,22.0,2.640794527867528,,Self
fixed,2,690,1,0,63.89999999999942,100.0,22.0,2.5846743616502064,,Self
fixed,2,700,1,0,61.99999999999941,100.0,22.0,2.6136254751160273,,Self
fixed,2,710,1,0,60.999999999999396,100.0,22.0,2.61913382583145,,Self
fixed,2,720,1,0,64.99999999999945,100.0,22.0,2.5599598697345227,,Self
fixed,2,730,1,0,63.09999999999946,100.0,22.0,2.5929996184857806,,Self
fixed,2,740,1,0,67.09999999999945,100.0,22.0,2.546786464376928,,Self
fixed,2,750,1,0,66.09999999999951,100.0,22.0,2.536857836809071,,Self
fixed,2,760,1,0,64.19999999999956,100.0,22.0,2.5718149880786347,,Self
fixed,2,770,1,0,68.19999999999959,100.0,22.0,2.5195561502052963,,Self
fixed,2,780,1,0,66.29999999999964,100.0,22.0,2.544632291340571,,Forage
fixed,2,790,1,0,65.2999999999997,100.0,22.0,2.550238086486599,,Self
fixed,2,800,1,0,69.29999999999976,100.0,22.0,2.4928707305555786,,Self
fixed,2,810,1,0,67.3999999999998,100.0,22.0,2.523510314466088,,Self
fixed,2,820,1,0,66.39999999999986,100.0,22.0,2.5286169519401698,,Self
fixed,2,830,1,0,70.39999999999992,100.0,22.0,2.4694061354453134,,Self
fixed,2,840,1,0,68.49999999999997,100.0,22.0,2.5024433184120225,,Self
fixed,2,850,1,0,72.50000000000003,100.0,22.0,2.4562299857157055,,Self
fixed,2,860,1,0,71.50000000000009,100.0,22.0,2.446301345717544,,Self
fixed,2,870,1,0,69.60000000000014,100.0,22.0,2.481258496121916,,Self
fixed,2,880,1,0,73.6000000000002,100.0,22.0,2.4289996581883573,,Self
fixed,2,890,1,0,71.70000000000024,100.0,22.0,2.4540757993194395,,Self
fixed,2,900,1,0,70.7000000000003,100.0,22.0,2.4597594590456002,,Self
fixed,2,910,1,0,74.70000000000036,100.0,22.0,2.4023196596967615,,Self
fixed,2,920,1,0,72.80000000000041,100.0,22.0,2.4329541997763036,,Self
fixed,2,930,1,0,76.80000000000047,100.0,22.0,2.390060486182311,,Forage
fixed,2,940,1,0,75.80000000000052,100.0,22.0,2.3782851631203497,,Self
fixed,2,950,1,0,73.90000000000057,100.0,22.0,2.4121377894650915,,Self
fixed,2,960,1,0,77.90000000000063,100.0,22.0,2.365691305511789,,Self
fixed,2,970,1,0,76.90000000000069,100.0,22.0,2.355746093466787,,Self
fixed,2,980,1,0,75.00000000000074,100.0,22.0,2.3907020903927907,,Self
fixed,2,990,1,0,79.0000000000008,100.0,22.0,2.3363834198432025,,Self
fixed,2,1000,1,0,77.10000000000085,100.0,22.0,2.3633702903505918,,Self
fixed,3,1,1,1,99.0,1.0,49.5,1.0192278776358703,,Care
fixed,3,10,1,1,96.30000000000004,10.0,45.0,2.569471314689688,,Self
fixed,3,20,1,1,95.3000000000001,20.0,40.0,4.19442135623731,,Self
fixed,3,30,1,1,88.90000000000012,30.0,35.0,5.129,,Protect
fixed,3,40,1,1,81.60000000000014,40.0,30.0,5.28396185942809,,Self
fixed,3,50,1,1,79.70000000000019,50.0,25.0,5.50165752218076,,Self
fixed,3,60,1,1,78.70000000000024,60.0,20.0,5.772999999999997,,Self
fixed,3,70,1,1,76.8000000000003,70.0,15.0,6.102999999999997,,Self
fixed,3,80,1,1,74.90000000000035,80.0,10.0,6.291578643762686,,Self
fixed,3,90,1,1,73.9000000000004,90.0,5.0,6.491578643762686,,Self
fixed,3,100,1,0,72.90000000000046,100.0,0.0,3.2241100226770216,,Self
fixed,3,110,1,0,76.50000000000048,100.0,0.0,2.546211003311403,,Forage
fixed,3,120,1,0,84.2000000000005,100.0,0.0,2.287283788383902,,Forage
fixed,3,130,1,0,97.80000000000052,100.0,0.0,2.2686034720984987,,Forage
fixed,3,140,1,0,99.0,100.0,0.0,2.3589441396027446,,Forage
fixed,3,150,1,0,94.40000000000003,100.0,0.0,2.4138536295946262,,Forage
fixed,3,160,1,0,92.50000000000009,100.0,0.0,2.417933530711593,,Forage
fixed,3,170,1,0,91.50000000000014,100.0,0.0,2.405425373556186,,Forage
fixed,3,180,1,0,94.6000000000002,100.0,0.0,2.417516424742642,,Forage
fixed,3,190,1,0,93.60000000000025,100.0,0.0,2.407187072726037,,Forage
fixed,3,200,1,0,97.6000000000003,100.0,0.0,2.39906775340415,,Forage
fixed,3,210,1,0,95.70000000000036,100.0,0.0,2.410024533541192,,Forage
fixed,3,220,1,0,94.70000000000041,100.0,0.0,2.4000088815369374,,Forage
fixed,3,230,1,0,92.80000000000047,100.0,0.0,2.411003214430173,,Forage
fixed,3,240,1,0,91.80000000000052,100.0,0.0,2.4010011630432078,,Forage
fixed,3,250,1,0,89.90000000000057,100.0,0.0,2.412000420678507,,Forage
fixed,3,260,1,0,88.90000000000063,100.0,0.0,2.402000152108164,,Forage
fixed,3,270,1,0,87.00000000000068,100.0,0.0,2.4130000549776067,,Forage
fixed,3,280,1,0,86.00000000000074,100.0,0.0,2.4030000198623984,,Forage
fixed,3,290,1,0,84.10000000000079,100.0,0.0,2.4140000071724805,,Forage
fixed,3,300,1,0,83.10000000000085,100.0,0.0,2.404000002588665,,Forage
fixed,3,310,1,0,86.2000000000009,100.0,0.0,2.41700000093374,,Forage
fixed,3,320,1,0,85.20000000000095,100.0,0.0,2.4070000003365837,,Forage
fixed,3,330,1,0,83.300000000001,100.0,0.0,2.418000000121242,,Forage
fixed,3,340,1,0,82.30000000000106,100.0,0.0,2.408000000043641,,Forage
fixed,3,350,1,0,86.30000000000112,100.0,0.0,2.400000000015698,,Forage
fixed,3,360,1,0,84.40000000000117,100.0,0.0,2.4110000000056453,,Forage
