tick,plasticity_this_tick,m0_energy,m0_fatigue,m0_bonding,m0_fear_threat,m0_stress,m0_closeness_child,m0_OT,m0_CORT,m0_mot_Forage,m0_mot_Care,m0_mot_Self,m0_mot_Protect,m0_sel_Forage,m0_sel_Care,m0_sel_Self,m0_sel_Protect,c0_hunger,c0_warmth,c0_injury
17,0,93.10000000000002,5.299999999999999,100.0,40.021912491039934,54.35101995850414,100.0,99.06038305885679,28.753326148269245,11.015808947603492,37.44215959750146,26.351512592138235,33.17913845443679,0,1,0,0,8.5,50.0,0.0
18,0,92.80000000000003,5.399999999999999,100.0,35.86882062178901,51.21170063679958,100.0,99.5301915294284,26.059683769425103,11.747754235965752,37.44215959750146,24.963058970419294,31.199058301168034,0,1,0,0,9.0,50.0,0.0
19,0,92.50000000000003,5.499999999999998,100.0,31.72120687529808,47.41535178213783,100.0,99.7650957647142,23.387706260981595,12.478963609258509,37.44215959750146,23.31457872965573,29.221589966393967,0,1,0,0,9.5,50.0,0.0
20,0,92.20000000000003,5.599999999999998,100.0,27.576332190187138,43.29953582538437,100.0,99.8825478823571,20.726561187738415,13.209805025016516,37.44215959750146,21.5396695302599,27.245427540867226,0,1,0,0,10.0,50.0,0.0
21,0,91.90000000000003,5.6999999999999975,100.0,18.43282703576619,39.028510149778484,100.0,99.94127394117855,14.737498998762065,14.612147911334576,37.44215959750146,19.462154905256067,22.886055377292866,0,1,0,0,10.5,50.0,0.0
22,0,91.60000000000004,5.799999999999997,100.0,11.79000664669024,31.904363753065326,100.0,99.97063697058928,10.417811585252462,15.678556083605237,37.44215959750146,16.374963684881298,19.718941037365987,0,1,0,0,11.0,50.0,0.0
23,0,91.30000000000004,5.899999999999997,100.0,5.89500332334512,24.743676842735788,100.0,99.98531848529464,6.59779468151512,16.64450468751387,37.44215959750146,13.30936863175713,16.908365338226837,0,1,0,0,11.5,50.0,0.0
24,0,91.00000000000004,5.9999999999999964,100.0,5.521094790479703,17.980548867432418,100.0,99.99265924264732,6.459070537740099,16.868765484397958,37.44215959750146,10.667590739380026,16.73009601783297,0,1,0,0,12.0,50.0,0.0
25,0,90.70000000000005,6.099999999999996,100.0,12.405208335912473,14.483662876456144,100.0,99.99632962132367,11.159309229318465,16.11800471710402,37.44215959750146,9.66987992424405,20.012252308447035,0,1,0,0,12.5,50.0,0.0
26,0,90.40000000000005,6.199999999999996,100.0,22.918332920494336,16.65222618219394,100.0,99.99816481066183,18.279029338573523,14.879733167721069,37.44215959750146,11.091662382019514,25.024621404565064,0,1,0,0,13.0,50.0,0.0
