run_dir,csv_path,world,plasticity,init,seed,n_generations,asymp_fitness,asymp_maternal_fraction,asymp_frac_care,asymp_frac_protect,asymp_frac_forage,asymp_frac_self,asymp_child_ttd_norm,asymp_mother_ttd_norm,asymp_u_drift_end,asymp_du_plastic,asymp_du_plastic_peak,asymp_plastic_active_frac,asymp_lr_eff
P1_random_uniform_seed50,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed50/lineage_generations.csv,,P1,random_uniform,50,3001,0.4015999999999999,0.2097661432160804,0.2057432265494137,0.0040229166666666,0.7347128978224455,0.055520958961474,0.269,0.8782,0.4362014699031761,0.0254209804681378,0.1598228347733348,0.3892521147403685,0.0417587358260256
P1_random_uniform_seed51,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed51/lineage_generations.csv,,P1,random_uniform,51,3001,0.4285,0.1822718499655154,0.1798718499655154,0.0024,0.7540799193591172,0.0636482306753674,0.2618,0.8777999999999999,0.3842493541871204,0.0251313408514141,0.1524544848544756,0.3954989760730013,0.0415073727826882
P2_anti_maternal_seed42,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed42/lineage_generations.csv,,P2,anti_maternal,42,3001,0.38925,0.4833318969214311,0.4387337082661934,0.0445981886552376,0.50205692387032,0.014611179208249,0.2974,0.5883,0.4130029342446543,0.0138010352905497,0.06,0.3277881413803152,0.0199999999999999
P2_anti_maternal_seed43,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed43/lineage_generations.csv,,P2,anti_maternal,43,3001,0.4942500000000001,0.3164782533236141,0.3164782533236141,0.0,0.6803850463396856,0.0031367003367003,0.2289,0.8588000000000001,0.2797030165240778,0.0061417381331241,0.052,0.1696778541428026,0.0199999999999999
P2_anti_maternal_seed44,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed44/lineage_generations.csv,,P2,anti_maternal,44,3001,0.5267000000000001,0.3045496201052016,0.3045496201052016,0.0,0.6924503798947984,0.003,0.2413,0.8585,0.3588045922644126,0.0077155004110865,0.052,0.2208098188194038,0.0199999999999999
P2_anti_maternal_seed45,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed45/lineage_generations.csv,,P2,anti_maternal,45,3001,0.5184,0.2297010989010988,0.1646875457875458,0.0650135531135531,0.7334201465201465,0.0368787545787545,0.2294,0.8597999999999999,0.3495901751005481,0.0072527455519083,0.052,0.1951564102564102,0.0199999999999999
P2_anti_maternal_seed46,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed46/lineage_generations.csv,,P2,anti_maternal,46,3001,0.5425,0.1384,0.1384,0.0,0.8333,0.0283,0.165,1.0,0.236359128179164,0.0031203095381499,0.04,0.0912999999999999,0.0199999999999999
P2_anti_maternal_seed47,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed47/lineage_generations.csv,,P2,anti_maternal,47,3001,0.39915,0.2098130975018951,0.2098130975018951,0.0,0.7062276199500994,0.0839592825480054,0.1927,0.7944,0.2342812374532041,0.0071936276880372,0.052,0.1869015390882455,0.0199999999999999
P2_anti_maternal_seed48,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed48/lineage_generations.csv,,P2,anti_maternal,48,3001,0.5995,0.1984,0.1984,0.0,0.8016,0.0,0.199,1.0,0.2787278533864197,0.003712734240637,0.044,0.1159999999999999,0.0199999999999999
P2_anti_maternal_seed49,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P2_anti_maternal_seed49/lineage_generations.csv,,P2,anti_maternal,49,3001,0.4883499999999999,0.1407,0.0945999999999999,0.0460999999999999,0.8318999999999999,0.0274,0.2166999999999999,1.0,0.3037302515072331,0.0045207630180867,0.054,0.1210999999999999,0.0199999999999999
